协心戮力 道合志同 同心合胆 身在曹营心在汉 百虑攒心
胡肥锺瘦 鼎食鸣钟 胡越之祸 鼎食钟鸣 击钟陈鼎
千门万户 填街塞巷 人烟浩穰 人烟稠密 广土众民
混为一谈 并为一谈 混作一谈 同日而道 同日而言
相差无几 小异大同 急处从宽 大同小异 因人而异
凤舞龙飞 捉衿见肘 笔走龙蛇 龙飞虎跳 龙蛇飞舞
赤心相待 一秉虔诚 拳拳盛意 诚心实意 诚心诚意
龙争虎斗 虎斗龙争 枪烟砲雨 枪烟炮雨 枪声刀影
以强凌弱 扶弱抑强 欺大压小 锄强扶弱 威胁利诱
攻苦食俭 敝衣粝食 寒耕热耘 咽苦吞甘 忍饥受饿
临危受命 人满为患 救难解危 艰苦创业 因任授官
风流潇洒 才华超众 通文达艺 宏材大略 才夸八斗
映雪读书 照萤映雪 囊萤映雪 雪窗萤火 雪案萤灯
东零西碎 星星点点 攒三集五 四分五裂 零零星星
闪烁其词 藏头亢脑 饰非文过 护过饰非 藏形匿影
正身明法 正己守道 井井有法 奉公如法 洁己从公
删华就素 超凡出世 朴实无华 超然自逸 超然不群
一簧两舌 言十妄九 咒天骂地 妄口巴舌 半吞半吐
魆风骤雨 急风骤雨 狂风暴雨 疾雨暴风 狂风骤雨
汗流洽衣 汗流浃背 汗流浃体 汗出浃背 流汗浃背
沛雨甘霖 一清如水 雨露之恩 霁月光风 风光月霁
金汤之固 金兰之交 金石不渝 罪不可逭 远垂不朽
陈言老套 日久年深 安身乐业 成年古代 苦尽甜来
云涌风飞 云涌飙发 汹涌彭湃 白浪掀天 急风骤雨
才夸八斗 显山露水 材雄德茂 生花之笔 生花妙笔
餐风茹雪 餐风啮雪 布衣蔬食 熬清受淡 熬清守淡
远见卓识 大有见地 闳识孤怀 独得之见 深切著明
改口沓舌 救偏补弊 游辞巧饰 反骄破满 捐弃前嫌
自愧弗如 愧不敢当 自愧不如 嫉贤妒能 贵人贱己
汗流满面 行眠立盹 凶喘肤汗 搓手顿足 风雷火炮
语笑喧哗 忍俊不住 载笑载言 神怡心旷 怡然自若
久而久之 历日旷久 由来已久 远年近岁 山枯石死
赤心相待 送抱推襟 遇物持平 一秉虔诚 守正不桡
匡国济时 历精为治 保国安民 济世安人 护国佑民
怀冤抱屈 愤愤不平 怒气冲冲 雷嗔电怒 啼啼哭哭
烘托渲染 托物陈喻 随物赋形 匠心独运 神领意造
一日三省 日省月修 熟读深思 知过能改 以人为镜
正言不讳 正大光明 磊落光明 直言无讳 正色直言
驱雷掣电 六臂三头 钻天入地 拿云捉月 神乎其技
触目崩心 触景伤怀 触景伤心 黯然伤神 触目伤心
虚舟飘瓦 冗词赘句 泥车瓦马 悬疣附赘 头上安头
鸾飞凤舞 一路风清 四海波静 千里同风 国富民安
唉声叹气 哀声叹气 咳声叹气 嗳声叹气 昼吟宵哭
雨愁烟恨 触景伤心 触景伤怀 触目崩心 抚景伤情
自由放任 唯所欲为 应变无方 像心适意 横无忌惮
公平正直 公明正大 公正廉明 公正不阿 公平无私
喜行于色 喜上眉梢 强颜欢笑 怡然自若 满脸春色
抖擞精神 抖搂精神 励精更始 还年驻色 历精更始
披罗戴翠 穿红着绿 林下风度 碧鬟红袖 滴粉搓酥
成双作对 和睦相处 相呴相济 通同一气 陌路相逢
夙夜在公 始终不懈 终始不渝 埋头苦干 练达老成
和蔼近人 和蔼可亲 闻融敦厚 和睦相处 喜行于色
寡见鲜闻 寒腹短识 不知丁董 管窥筐举 款学寡闻
仪静体闲 鹄峙鸾停 雍容华贵 雍荣华贵 眉目如画
正大堂皇 进退履绳 正中己怀 气骄志满 气满志骄
暑雨祁寒 咳声叹气 哀声叹气 唉声叹气 嗳声叹气
通计熟筹 词严义密 沉谋重虑 沉谋研虑 策无遗算
一偏之见 囿于成见 偏听偏言 一得之愚 一隅之见
斋心涤虑 以意逆志 使心用腹 弃恶从善 打破迷关
少头缺尾 里出外进 错落不齐 参差不一 残缺不全
精明强干 精明能干 宏才大略 慧心妙舌 才识过人
鸿图华构 雕阑玉砌 玉砌雕阑 金璧辉煌 辉煌金碧
不药而愈 早占勿药 霍然而愈 药到病除 潜移默运
同德协力 齐心协力 齐心合力 同德一心 同力协契
满腔热枕 忿火中烧 热情洋溢 心焦如火 心如火焚
世扰俗乱 不正之风 浇淳散朴 世道人心 世风日下
驱霆策电 风驰云走 流星飞电 一溜烟 一日万里
大败亏轮 引过自责 饰非遂过 引咎责躬 自食其果
增收节支 一举两得 省烦从简 事捷功倍 简要不烦
十全十美 心满意得 志得意满 志满意得 径情直行
八方支援 八方支持 知疼着痒 知疼着热 急人之困
狼心狗肺 鼠心狼肺 狗心狗行 狗肺狼心 人面兽心
令人起敬 感恩戴德 素丝良马 敬老尊贤 赏贤使能
言之不预 急处从宽 烦文缛礼 简要不烦 旁枝末节
百代过客 永生永世 经久不息 远垂不朽 百世不易
朴素无华 删华就素 朴实无华 优游岁月 悠闲自在
狂吠狴犴 吠非其主 狗吠之惊 狗吠不惊 一犬吠形，百犬吠声
识才尊贤 作育人材 使贤任能 养贤纳士 爱人好士
引经据典 引经据古 上篇上论 牵经引礼 有例可援
饥不暇食 不遑暇食 食不充肠 口多食寡 面有菜色
腾空而起 青霄直上 平步青霄 飞升腾实 飞声腾实
兵连祸接 兵拏祸结 雪上加霜 戎马劻勷 扶危定乱
悲痛欲绝 情凄意切 人心丧尽 刺心切骨 苦不可言
耻居人下 人微言轻 引以为耻 羞面见人 牛口之下
进退有常 进退应矩 进退中绳 进退有度 进退有节
苍颜白发 长命富贵 白头到老 须眉交白 鸡皮鹤发
颊上三毛 模山范水 重葩累藻 匠心独具 寓情于景
秋波盈盈 满腔热忱 唾壶击缺 摇头叹息 忧形于色
贪生畏死 贪生恶死 临危授命 死中求活 舍身为国
十恶不赦 极恶不赦 隆刑峻法 十恶五逆 罪加一等
里出外进 错落不齐 不事边幅 拉拉杂杂 不习地土
一无所获 终成泡影 于事无补 虚往实归 零丁孤苦
终始不渝 始终不懈 一心一计 专心一意 练达老成
惹事生非 招是搬非 聚众滋事 寻事生非 贪功起衅
目不暇给 触目皆是 目不暇接 美不胜收 睹物兴情
勃然大怒 忿然作色 怫然作色 雷嗔电怒 怒气冲冲
重葩累藻 锦篇绣帙 一枕南柯 鸾歌凤舞 绣虎雕龙
海不波溢 时清海宴 平风静浪 恬淡无为 太平无事
急人之困 急人之难 舍己为人 善与人交 助人为乐
明知故犯 不容置喙 语无诠次 固执己见 顿足不前
重义轻生 重气轻命 重气轻生 轻身重义 临危授命
雄材大略 宏才大略 雄才大略 逸群之才 超世之才
慷慨输将 朴实无华 随缘乐助 朴素无华 爱日惜力
披露肝胆 效死输忠 效死勿去 拳拳盛意 破肝糜胃
砥志研思 埋头苦干 研精致思 研精竭虑 设心积虑
长久之计 苦心经营 长计远虑 谋事在人 因事制宜
视死如饴 驾鹤西游 骨化形销 神灭形消 一命归阴
做张做势 拿腔做势 做好做恶 拿腔作调 弄虚作假
染旧作新 舍旧谋新 引物连类 以假乱真 除旧更新
改行为善 匡谬正俗 弃恶从善 过而能改 改行自新
嫁狗随狗 退有后言 德言工容 德容言功 女长须嫁
晰毛辨发 视微知著 剖玄析微 铢分毫析 枝分缕解
逾年历岁 日长似岁 一年半载 万古千秋 田月桑时
通险畅机 省烦从简 山遥水远 弃易求难 变危为安
坚贞不渝 信守不渝 义不反顾 确乎不拔 恪守不渝
焦沙烂石 炊沙成饭 焦金烁石 焦金流石 炊沙作饭
众目昭彰 了了可见 游目骋观 历历可见 洞察一切
李广不侯 李广难封 浮湛连蹇 有才无命 北郭先生
公听并观 虚己受人 砥志研思 倾耳细听 防心摄行
七七八八 鲁卫之政 貌离神合 大同小异 同日而语
切近的当 直上直下 中立不倚 循环无端 蹈袭前人
括目相待 另眼看待 旁见侧出 见智见仁 见仁见智
进俯退俯 不进则退 事败垂成 发奋图强 功败垂成
放浪不拘 放浪无拘 放浪无羁 放达不羁 放诞不拘
偃革尚文 偃武崇文 务本抑末 古为今用 杜门不出
背曲腰躬 耸肩缩背 背曲腰弯 诎要桡膎 挠曲枉直
鬼哭狼嚎 叩心泣血 嚎天喊地 大放悲声 狼嗥鬼叫
绘声绘色 调朱傅粉 匀红点翠 目挑心招 惟肖惟妙
热情洋溢 深情厚意 深情厚谊 情投意忺 情投谊合
傲慢少礼 傲慢无礼 言行相悖 放荡形骸 横蛮无理
做刚做柔 顿足不前 谆谆善诱 以理服人 停滞不前
半吞半吐 半吐半露 若有若无 含糊其辞 含糊其词
愧悔无地 引以为耻 敢怨而不敢言 羞面见人 畏缩不前
总角之交 绮纨之岁 跷足抗手 雨鬓风鬟 挠曲枉直
连昏接晨 连宵彻曙 黑家白日 成日成夜 通宵彻夜
避世墙东 潜踪蹑迹 遁世长往 窝停主人 市井之臣
百般奉承 曲意迎合 曲意奉迎 曲意承迎 推诚接物
兔死凫举 兔起凫举 凫鹤从方 沙鸥翔集 凫趋雀跃
东门黄犬 窃钩窃国 窃钩者诛，窃国者侯 带罪立功 来者可追
还原反本 还元返本 还淳返朴 归全反真 旧地重游
精妙绝伦 匠心独运 雕文织采 璧坐玑驰 清新俊逸
削职为民 轻繇薄赋 造次颠沛 振兵释旅 迁臣逐客
谨行俭用 物尽其用 革旧图新 爱日惜力 损有余补不足
喜不自胜 明哲保身 木人石心 讫情尽意 百无一失
一点一滴 片鳞半爪 一斑半点 分厘毫丝 零零星星
鸾吟凤唱 群雌粥粥 鹊反鸾惊 顿挫抑扬 鸾俦凤侣
推崇备至 感恩戴德 奉如神明 善颂善祷 执鞭随镫
河倾月落 河斜月落 月朗星稀 月落星沉 东方将白
肤皮潦草 浮皮潦草 三日打鱼，两日晒网 三天打鱼，两天晒网 头痛医头，脚痛医脚
千形万状 变态百出 九变十化 十变五化 千变万化
艰难困苦 握蛇骑虎 若涉渊水 如蹈水火 狼艰狈蹶
溯水行舟 逆水行舟 顺水行舟 风起水涌 沸沸汤汤
自由放任 放任自流 听其自流 任其自流 唯所欲为
惊起梁尘 余音袅袅 鸾歌凤舞 凤吟鸾吹 朱弦三叹
发奋图强 当务始终 咬紧牙关 同德协力 只争旦夕
半梦半醒 魂摇魄乱 恍如梦境 丹心如故 执迷不醒
心小志大 志美行厉 干干翼翼 敬终慎始 熟思审处
间不容缓 方兴未已 方滋未艾 一日千丈 形势逼人
传柄移藉 移易迁变 默换潜移 默转潜移 除旧更新
千锤打锣，一锤定音 物议沸腾 观者如市 哗众取宠 自有公论
弃公营私 卖公营私 争权夺利 惹事生非 招是搬非
唯所欲为 安土乐业 优游岁月 终焉之志 逐机应变
历精为治 历精图治 忧国奉公 励精求治 兴邦立国
自我表现 自媒自衒 才夸八斗 自高自大 以人为镜
遣辞措意 潘文乐旨 意前笔后 寓意深长 寓意深远
想方设法 千方百计 百计千方 反复推敲 多方百计
分工合作 各自为战 因事制宜 各就各位 相辅而行
心中有数 用其所长 有所作为 以简驭繁 随才器使
堆山积海 山积波委 积金累玉 堆积如山 堆金叠玉
空谷传声 云合响应 不绝于耳 了然无闻 一重一掩
同心并力 同心合力 云集响应 一心一德 亿兆一心
生吞活剥 活剥生吞 生搬硬套 片接寸附 学非所用
舍己为公 出以公心 因公假私 忧公忘私 私心杂念
上楼去梯 暗室欺心 图作不轨 文武差事 暮夜怀金
热锅上的蚂蚁 凤狂龙躁 没精打彩 心上心下 两头三绪
搬唇弄舌 说好说歹 戴高帽子 说是谈非 宏材大略
残篇断简 半半拉拉 移有足无 瘠义肥辞 残编裂简
量力度德 话长说短 坐视成败 审己度人 察言观行
背腹受敌 表里受敌 遵养晦时 四面受敌 打击报复
云行雨施 雨露之恩 云行雨洽 一饭千金 春风雨露
心术不端 傲慢少礼 傲慢无礼 丧天害理 造恶不悛
和蔼可亲 和蔼近人 闻融敦厚 好声好气 温润而泽
抚今思昔 抚今痛昔 吊古伤今 感今怀昔 感今思昔
振穷恤寡 振穷恤贫 分贫振穷 赈贫贷乏 救难解危
心向往之 心乡往之 想望丰采 时望所归 甘拜下风
矩步方行 正己守道 尊贤使能 行者让路 洁己从公
重岩迭障 重岩叠障 重峦迭巘 重峦叠嶂 重峦迭嶂
安身之地 安家立业 岐出岐入 得其所哉 各得其宜
力不能支 用心竭力 力不能及 劳而无功 悬而未决
感人肺腑 深铭肺腑 洞幽察微 心服首肯 口服心服
听其自然 应天承运 舍己就人 随物应机 随俗沉浮
尖言冷语 唇尖舌利 舌锋如火 乳声乳气 利齿能牙
铺眉苫眼 铺眉蒙眼 拿腔作势 拿班作势 做张做势
撒骚放屁 胡说乱道 胡说八道 胆大妄为 造言生事
大权在握 争权夺利 挟势弄权 鬻宠擅权 因公假私
豕亥鱼鲁 狗屁不通 舞文巧诋 亥豕相望 雕章镂句
坚执不从 承颜候色 孤行己见 孤行己意 孤行一意
命词遣意 简截了当 分星劈两 命辞遣意 简明扼要
敬终慎始 真独简贵 区闻陬见 学疏才浅 学浅才疏
通文达艺 心巧嘴乖 博学多才 画沙印泥 龙骧豹变
止戈散马 来好息师 休牛散马 休牛归马 以战去战
多情善感 捶胸跌足 捶胸跌脚 捶胸顿脚 触景伤情
肤末支离 郐下无讥 一鳞片爪 栉比鳞差 栉比鳞臻
照功行赏 计功行赏 班功行赏 论功行封 计功程劳
跗萼载韡 跗萼联芳 跗萼连晖 慈明无双 富贵显荣
自我表现 自媒自衒 才夸八斗 逞工炫巧 才华超众
钻火得冰 面壁磨砖 一手托天 煎水作冰 道傍之筑
升官发财 发财致富 加官进禄 多文为富 射利沽名
大大咧咧 二心两意 三日打鱼，两日晒网 三天打鱼，两天晒网 小手小脚
瞬息之间 朝朝暮暮 转瞬之间 大天白日 匪朝伊夕
神魂飘荡 神魂荡飏 神不附体 心如悬旌 弄影团风
一手一脚 一手一足 人单势孤 犬键踪 手足之情
正直无私 志洁行芳 清廉正直 清风峻节 雪操冰心
搬唇弄舌 宏材大略 高才绝学 入室升堂 故家乔木
文理不通 言无伦次 狗屁不通 辞不达义 言行相悖
铜心铁胆 坚忍不拔 木石心肠 铁肠石心 木人石心
狐鼠之徒 虚舟飘瓦 月旦春秋 泥中隐刺 七扭八歪
悔过自责 计过自讼 何必当初 省身克己 忘情负义
碎瓦颓垣 断垣残壁 尺椽片瓦 破瓦颓垣 大厦将倾
不正之风 辱门败户 救时厉俗 败俗伤化 败俗伤风
唯所欲为 谋事在人 逐机应变 人尽其才 自由放任
足不窥户 足不出门 足不逾户 闭门不出 夜不闭户
锐挫气索 大败亏输 百折不移 风雨飘零 锐挫望绝
南山铁案 条条框框 罪责难逃 罪不可逭 不刊之说
心平气定 平心静气 神色不惊 神色不动 舒眉展眼
此伏彼起 此起彼伏 此起彼落 规旋矩折 走南闯北
逾绳越契 口口相传 言之不预 茫无端绪 一纸空文
凤吟鸾吹 朱弦三叹 余音绕梁 妙舞清歌 林下风度
慎小谨微 慎小事微 中河失舟，一壶千金 物以稀为贵 千金弊帚
耽惊受怕 忑忑忐忐 吃惊受怕 惶恐不安 惶惶不安
安土重旧 安土重迁 心小志大 抛乡离井 锦衣行昼
材雄德茂 才华超众 才夸八斗 才华横溢 囊锥露颖
头疼脑热 头痛额热 头痛脑热 五劳七伤 微过细故
贫无立锥 贫无置锥 贫无立锥之地 地瘠民贫 清贫如洗
春暖花香 红情绿意 春色满园 春和景明 寓情于景
五洲四海 海外奇谈 恢恑憰怪 他乡异县 异闻传说
摧锋陷坚 摧锋陷阵 摧坚陷阵 坚不可摧 陵劲淬砺
聊以自慰 慰情胜无 聊以自娱 指雁为羹 堪以告慰
据为己有 予取予携 予取予夺 私心杂念 因乌及屋
加官进禄 升官发财 增收节支 照功行赏 发财致富
逐末忘本 逐末弃本 逐末舍本 逐近弃远 还元返本
相因相生 相生相成 相克相济 音相应 表里相应
明知故犯 下不为例 武不善作 不胜其苦 理所不容
胆粗气壮 胆壮气粗 风行电击 一身是胆 浑身是胆
进退出处 进退荣辱 出处进退 鹏抟鹢退 买田阳羡
假戏真做 矫情饰诈 惟妙惟肖 假门假事 弄假成真
苍颜白发 鸡皮鹤发 须眉皓然 雪鬓霜鬟 白发苍颜
乾乾翼翼 坐薪尝胆 枕典席文 十年读书 孳孳不倦
阿时趋俗 阿世取容 顺时随俗 适俗随时 适时应务
少安无躁 溢美之语 溢美之言 出言无状 乐不可极
宏才大略 雄材大略 逸群之才 多才多艺 雄才大略
狐媚魇道 百鬼众魅 负诟忍尤 违天逆理 贼子乱臣
识途老马 钜学鸿生 老马识途 有识之士 识涂老马
因任授官 重望高名 临危受命 一命之荣 知遇之恩
飘风过耳 道旁苦李 不以为意 坐失良机 坐视不救
不避艰险 有勇知方 有胆有识 敢作敢当 智勇兼全
尊师贵道 推崇备至 敬贤重士 令人起敬 敬贤爱士
宠辱不惊 弃瑕取用 随方就圆 无所容心 居之不疑
餐风宿雨 餐风咽露 餐风宿露 餐风宿草 餐风饮露
雕盘绮食 少吃俭用 朴素无华 捐金抵璧 买东买西
搭搭撒撒 垂手而得 垂手可得 半三不四 骨软筋酥
祁奚举午 祁奚之举 祁奚之荐 天上麒麟 先圣先师
飞书走檄 摇笔即来 言之有序 一时半刻 一时半晌
低眉折腰 怕痛怕痒 膝行而前 低首下气 降颜屈体
一搭一档 通共有无 东鸣西应 相辅而行 相得益章
弄虚作假 矫情饰诈 造谣惑众 撒诈捣虚 做鬼做神
崭露头脚 藏巧于拙 宏才大略 才夸八斗 多才多艺
有增无已 相因相生 接三连四 接连不断 方滋未艾
人离乡贱 自我解嘲 遥遥华胄 顶名冒姓 以疏间亲
残民害物 误国殃民 奸淫掳掠 恶语伤人 病国殃民
不露神色 隐姓埋名 讳莫高深 避人耳目 隐名埋姓
助人下石 舍己为人 损人利己 违害就利 违强陵弱
大败亏轮 无妄之忧 惹是招非 池鱼之虑 通忧共患
以言举人 推贤进善 养贤纳士 使贤任能 以人择官
中立不倚 不偏不倚 无偏无陂 允执厥中 大事不糊涂
非分之财 不劳而获 不勤而获 自给自足 非分之想
碌碌无奇 凡夫俗子 佣中佼佼 凡偶近器 凡胎浊骨
破镜重圆 久别重逢 人生何处不相逢 死别生离 言归和好
慎小事微 秉节持重 甄心动惧 少安无躁 谨行俭用
家传户诵 家传人诵 家传户颂 家见户说 家喻户习
勤学苦练 孜孜无倦 不避艰险 好学不倦 逊志时敏
发奋图强 竭力虔心 同德协力 一心一德 孜孜无怠
灯尽油干 民穷财匮 民穷财尽 力殚财竭 夜静更阑
树俗立化 遗风旧俗 英风亮节 仁人义士 积德累善
重望高名 时望所归 权重望崇 齐名并价 大权在握
人强胜天 坐享其功 无为而成 人众胜天 天授地设
旧地重游 抛乡离井 告老还乡 还原反本 异地相逢
边尘不惊 百战不殆 兵不雪刃 鹰拿燕雀 一钱不落虚空地
豕窜狼逋 吃惊受怕 汲汲皇皇 恍恍荡荡 鼠窜狼奔
言必信，行必果 奉行故事 抱柱之信 蹈矩循规 奉命惟谨
日增月盛 日新月著 日新月盛 日增月益 日益月滋
病魔缠身 五劳七伤 积非成是 一卧不起 心腹之疾
权均力齐 权均力敌 力均势敌 智均力敌 看人行事
惺惺相惜 引物连类 青林黑塞 鲁卫之政 不期而同
虚度年华 一无所成 不劳而成 徒劳无功 马齿徒长
飞谋荐谤 无兄盗嫂 飞谋钓谤 求全之毁 兴讹造讪
引以为憾 一谷不升 怀冤抱屈 碰钉子 驾鹤西游
危急存亡之秋 进退维亟 幕燕鼎鱼 死里求生 险象环生
兴家立业 自给自足 艰苦创业 立国安邦 立身扬名
历精为治 励精图治 励精求治 忧国奉公 奋发有为
揽权纳贿 招权纳赇 招权纳赂 招权纳贿 受制于人
活龙活现 活灵活现 唯妙唯肖 活神活现 栩栩欲活
言简意深 简明扼要 画龙点晴 言简义丰 言约旨远
豹头环眼 确乎不拔 雄姿英发 骁勇善战 龙威燕颔
鹄峙鸾停 兰心蕙性 眉目如画 鸿轩凤翥 相貌堂堂
离乡背土 问心无愧 平心易气 旷心怡神 离乡别土
百端交集 感慨系之 感慨万端 云蒸雾集 情见乎言
救难解危 救困扶危 舍己为人 扶危救困 助人下石
微乎其微 掉以轻心 失之千里，差若毫厘 失之毫厘，差之千里 失之毫厘，差以千里
隋侯之珠 隋珠和璧 隋珠荆璧 隋珠和玉 隋珠弹雀
营营逐逐 应节合拍 不期而会 水流花落 失惊打怪
连三跨五 追风蹑景 蹑影追风 风行电照 十万火速
油光晶亮 油光可鉴 油光水滑 丽藻春葩 春葩丽藻
生花妙笔 生花之笔 龙翰凤翼 龙翰凤雏 脱颖囊锥
隐忍不言 隐忍不发 深仇大恨 饮恨而终 疑团莫释
附赘县疣 附赘悬胾 悬疣附赘 附赘悬疣 肘胁之患
琵琶旧语 相忍为国 割地求和 废私立公 有以善处
浪迹浮踪 东飘西徙 东飘西泊 五洲四海 浪迹天下
揎拳舞袖 揎腕攘臂 揎拳攞袖 揎拳裸臂 揎拳裸手
立身处世 贯穿融会 协力同心 同心协力 立身扬名
瞬息之间 转瞬之间 一时三刻 一时半晌 一时半霎
遭倾遇祸 运拙时乖 运蹇时低 运蹇时乖 运拙时艰
解纷排难 救难解危 排难解纷 人我是非 扶弱抑强
一吟一咏 舞笔弄文 文期酒会 枕典席文 流脍人口
令不虚行 稳步前进 照章办事 看景生情 因事制宜
取巧图便 营私作弊 顾小失大 谨行俭用 因小失大
雄才大略 言之有序 点石成金 量金买赋 修辞立诚
一言丧邦 一言兴邦 误国殃民 危言竦论 篡党夺权
急如风火 孳孳汲汲 孜孜汲汲 汲汲皇皇 巴巴劫劫
参差错落 东零西碎 一刀切 千差万错 四分五裂
满招损，谦受益 一谦四益 长傲饰非 反骄破满 贵人贱己
积思广益 明验大效 靡然成风 靡然从风 侈人观听
池鱼之殃 池鱼之祸 一长两短 一长二短 多灾多难
醉生梦死 醉死梦生 酒食地狱 熬清守谈 混混噩噩
骚情赋骨 雅人韵士 雍容大度 跌宕风流 风流潇洒
餐风茹雪 餐风啮雪 宿水餐风 餐风宿雨 餐风宿草
奇形怪状 怪形怪状 怪模怪样 诡形奇制 奇形异状
心如刀割 心如刀绞 心如刀锉 心如刀搅 心如刀剉
挺而走险 绝路逢生 临危授命 铤鹿走险 当机立断
量小力微 感恩怀德 寸草衔结 慎小谨微 礼轻人意重
兵行诡道 兵不厌权 运智铺谋 运计铺谋 神谟庙算
信守不渝 不易之典 终始不渝 始终不懈 坚贞不渝
三平二满 心满意足 称心如意 满脸春色 镜圆璧合
章决句断 笔酣墨饱 言之有序 词严义密 危言覈论
物美价廉 价廉物美 言不二价 言无二价 多快好省
因小失大 损公肥私 为小失大 害人不浅 损己利人
废书而叹 触物兴怀 即景生情 触景伤心 触景伤怀
娇皮嫩肉 丰神异彩 精力充沛 柔肤弱体 玉骨冰肌
洽闻强记 通文达艺 博学多才 多见广识 通才练识
哭天喊地 死声唃气 大吆小喝 舌锋如火 一呼百应
不易之典 照章办事 必由之路 按步就班 以身作则
悲愤填膺 悲从中来 触目崩心 悱恻缠绵 百般折磨
山栖谷隐 乐山爱水 山栖谷饮 深山野墺 眠云卧石
推诚接物 正大光明 磊落光明 和睦相处 磊落不凡
看人眉睫 安眉带眼 近在眉睫 多如牛毛 明光烁亮
桂子兰孙 天潢贵胄 孝子慈孙 龙雏凤种 玉叶金枝
閒今铸古 识字知书 熔今铸古 熔古铸今 识文断字
胆丧魂消 胆丧魂惊 踨蹐不安 神丧胆落 毛骨竦然
岁暮天寒 薄暮冥冥 国难当头 生民涂炭 冰雪严寒
福寿齐天 福寿绵绵 百龄眉寿 寿比南山 齐天洪福
百里挑一 脱颖囊锥 曲尽奇妙 青钱万选 万选青钱
傲头傲脑 九牛拉不转 顽梗不化 水底纳瓜 小手小脚
冰洁渊清 狐听之声 清洌可鉴 一廉如水 彰明昭著
一搭两用 物以希为贵 物稀为贵 燕石妄珍 贵贱无二
惟所欲为 唯所欲为 陶然自得 自由放任 漫不经意
相持不下 争权夺利 百般刁难 一面之词 同恶相求
疑团莫释 以疑决疑 众难群疑 众难群移 不知头脑
风和日暄 有意无意 风和日美 无休无了 无尽无穷
贪求无厌 无妄之福 毫不利己，专门利人 贪蛇忘尾 公而忘私
优游岁月 悠闲自在 超然自逸 删华就素 安闲自得
独鹤鸡群 卓立鸡群 鹤立鸡群 超群拔类 成群结伙
析肝沥悃 披肝露胆 露胆披肝 析肝吐胆 露胆披诚
龙腾虎踞 人多势众 百万雄师 养威蓄锐 中原逐鹿
公明正大 忧公忘私 公平无私 遇物持平 公正廉明
乐在其中 遣愁索笑 寻欢作乐 自得其乐 乐事劝功
胸中万卷 富面百城 拥书百城 牙签万轴 博学多才
轻骑简从 轻车简从 轻装简从 轻车减从 轻骑减从
高翔远引 轻举远游 高举深藏 高卧东山 东山高卧
养生送死 养生送终 熊罴入梦 凤子龙孙 养老送终
风月无边 斗酒双柑 风月无涯 青竹丹枫 枕山负海
点头咂嘴 取信于人 惺惺相惜 言行计从 言听计行
事不关己，高高挂起 言无不尽 置之脑后 唠唠叨叨 侈侈不休
家道从容 小康之家 肥甘轻暖 改换家门 家道小康
旷日累时 日积月聚 日累月积 积岁累月 积日累月
切近的当 应节合拍 简明扼要 说来说去 简截了当
反覆无常 变动不居 九变十化 十变五化 变幻不测
救难解危 移气养体 祛病延年 不无小补 一举两得
惹祸招灾 惹祸招殃 惹灾招祸 惹祸招愆 惹是招非
量能授官 因任授官 以人择官 沿才受职 量材录用
祸乱滔天 人荒马乱 戎马劻勷 兵慌马乱 云扰幅裂
漫不经意 不足为虑 不管一二 无所容心 无所用心
无挂无碍 无羐无碍 无虑无忧 安心落意 无所顾惮
内外夹攻 里外夹攻 负诟忍尤 恩威并重 以攻为守
桑中之喜 男女有别 蔑伦悖理 缛礼烦仪 出言无状
鹄峙鸾停 眉目如画 仪静体闲 仙姿玉质 仙姿玉色
得薄能鲜 凡才浅识 德薄才鲜 有口无行 才疏德薄
桂玉之地 敩学相长 教学相长 宗师案临 论道经邦
和蔼可亲 和蔼近人 心慈面软 好声好气 软谈丽语
饮食起居 游戏人间 熬清守谈 久历风尘 金镶玉裹
刬恶锄奸 剗恶锄奸 革奸铲暴 讨恶翦暴 锄强扶弱
相生相成 通同一气 声气相通 相因相生 同声相应，同气相求
受制于人 看家本领 有识之士 操纵自如 大权旁落
顺时而动 适时应务 径情直行 及时行乐 顺风行船
察言观行 话长说短 以辞取人 说短论长 说长道短
枵腹终朝 食不充肠 饥饱劳役 饥馑荐臻 食饥息劳
简切了当 东撙西节 暴露无遗 铢分毫析 一斑半点
才夸八斗 超世之才 卓绝千古 动之以情 鸿渐之仪
增收节支 扭亏增盈 一举两得 量入计出 东撙西节
食甘寝宁 三平二满 枕稳衾温 称心如意 酒醉饭饱
出舆入辇 随近逐便 倍道而行 虚位以待 此发彼应
半半拉拉 轻虑浅谋 杂乱无序 言行不符 移有足无
心巧嘴乖 言简义丰 命词遣意 言简意深 言约旨远
黑天白日 白日青天 大天白日 连昏接晨 千古一律
傲头傲脑 九牛拉不转 咬定牙关 铜心铁胆 倔头强脑
胸中万卷 枕典席文 砥志研思 三余读书 废书而叹
柳啼花怨 鬼哭天愁 兔葵燕麦 雨井烟垣 鸡犬不闻
强不知以为知 糊里糊涂 以文害辞 辞不达义 胡里胡涂
舍近务远 逐近弃远 长计远虑 舍近即远 逐末舍本
柳暗花遮 柳昏花螟 薄暮冥冥 寓情于景 河倾月落
遗臭无穷 万世流芳 名垂万古 遗臭万载 丑声远播
熟思审处 别作良图 巴前算后 言听谋决 明知故犯
拾掇无遗 扫地无遗 扫地无余 扫地俱尽 干净利索
身价百倍 年高望重 声价十倍 资深望重 逐名趋势
以礼相待 将心比心 温文儒雅 忧公忘私 干干翼翼
