情投意忺 情投谊合 协心戮力 协心同力 道合志同
策无遗算 不爽毫发 巨细无遗 无际可寻 始终不懈
一偏之见 一隅之见 一偏之论 一得之愚 一隅之说
斋心涤虑 齐心涤虑 省身克己 徙善远罪 不念旧恶
少头缺尾 七穿八烂 里出外进 七断八续 错落不齐
多才多艺 宏才大略 精明强干 精明能干 心中有数
雨帘云栋 雨栋风帘 雕阑玉砌 玉砌雕阑 鸿图华构
不药而愈 早占勿药 无挂无碍 无羐无碍 不足为虑
合衷共济 齐心协力 齐心合力 毕力同心 同心毕力
满腔热枕 感慨激昂 无名火气 热情洋溢 心如火焚
世扰俗乱 不正之风 世风日下 浇淳散朴 恶性循环
驱霆策电 一溜烟 追风逐电 风驰云走 车驰马骤
自贻伊咎 悔过自责 自食其恶果 自食其果 计过自讼
事捷功倍 事半功倍 明效大验 俭故能广 多快好省
志满意得 志得意满 心满意得 名我固当 十全十美
知疼着痒 知疼着热 问寒问暖 驿路梅花 驿使梅花
狼心狗肺 狼子兽心 如狼似虎 鼠心狼肺 狗肺狼心
素丝良马 周公吐哺 敬贤重士 吐哺辍洗 春露秋霜
无所忌讳 不足为虑 省烦从简 无庸赘述 言之不预
日征月迈 百代过客 日月如流 滔滔不断 滔滔不竭
优游岁月 平心静气 朴素无华 温文儒雅 栖冲业简
狂吠狴犴 吠非其主 一犬吠形，百犬吠声 狗吠之惊 狗吠不惊
养贤纳士 作育人材 囊里盛锥 使贤任能 识才尊贤
上篇上论 引经据典 依经傍注 引经据古 牵经引礼
饥不暇食 不遑暇食 饥火烧肠 面有菜色 枵腹终朝
腾空而起 青霄直上 平步登天 一日万里 平步青霄
兵拏祸结 兵连祸接 饥馑荐臻 祸不单行 灾难深重
急痛攻心 心如刀割 心如刀绞 悲痛欲绝 五内俱崩
耻居人下 牛口之下 人微言轻 身微言轻 身微力薄
进退有常 进退应矩 进退中绳 进退履绳 进退有节
长命富贵 白头到老 松柏之寿 黄发儿齿 白发千丈
颊上三毛 一字连城 唯妙唯肖 奇文瑰句 神至之笔
秋波盈盈 摇头叹息 满腔热忱 抱头大哭 脸青鼻肿
贪生畏死 贪生恶死 爱生恶死 视死若生 死中求活
十恶不赦 罪逆深重 罪恶深重 罪业深重 弥天大罪
七高八低 里出外进 错落不齐 千沟万壑 脚高步低
一无所获 终成泡影 前功尽废 于事无补 万念俱寂
贼心不死 足踏实地 信守不渝 孜孜不辍 守分安常
招是搬非 惹事生非 寻事生非 讨是寻非 贪功起衅
目不暇给 目不暇接 目不给赏 感慨万千 见势不妙
勃然大怒 忿然作色 雷嗔电怒 愤愤不平 怒气冲冲
锦篇绣帙 重葩累藻 奇文瑰句 绣虎雕龙 烂若披锦
海不波溢 风平波息 平风静浪 时清海宴 日暖风和
急人之难 急人之困 乐善好施 乐善不倦 善与人交
矢口狡赖 矢口否认 矢口抵赖 累教不改 屡教不改
爱日惜力 慎小事微 重气轻命 重义轻生 重气轻生
超世之才 雄材大略 高才远识 宏才大略 逸群之才
如弃敝屣 爱日惜力 删华就素 无所重轻 中河失舟，一壶千金
披露肝胆 效死输忠 效死勿去 破肝糜胃 披肝沥血
潜心笃志 潜心涤虑 抟心揖志 一心无二 专心一志
长久之计 谋事在人 宏图大志 鸿业远图 百年大计
以肉餧虎 以肉喂虎 以肉啖虎 赍志而没 不自由，毋宁死
拿腔做势 做张做势 妆模作样 铺眉蒙眼 铺眉苫眼
取而代之 以桃代李 移有足无 截鹤续凫 更弦易辙
改行为善 改行自新 匡谬正俗 改行迁善 改行从善
嫁狗随狗 嫁鸡逐鸡 嫁犬逐犬 嫁鸡随鸡，嫁狗随狗 女长须嫁
晰毛辨发 睹著知微 睹着知微 历历可辨 视微知著
无冬无夏 万古千秋 松柏之茂 多历年稔 青山不老
通险畅机 变危为安 鸟道羊肠 避凶趋吉 通衢广陌
义不反顾 坚守不渝 誓死不渝 确乎不拔 恪守不渝
焦沙烂石 焦金流石 焦金烁石 燋金烁石 火烧火燎
一见了然 游目骋观 洞察一切 了了可见 一望而知
富贵逼人 操刀制锦 时亨运泰 弹冠结绶 故家乔木
虚己受人 公听并观 言气卑弱 敬终慎始 洗耳恭听
鲁卫之政 连类比事 牵物引类 同日而语 彼此彼此
无偏无倚 无偏无颇 中立不倚 直上直下 无偏无陂
括目相待 另眼看待 另眼相看 另眼相待 公听并观
鲇鱼上竹 不进则退 畏缩不前 畏葸不前 进退两端
放诞不拘 放诞不羁 放浪不拘 放浪无羁 放浪无拘
偃武崇文 偃革尚文 偃武行文 偃武觌文 偃武兴文
背曲腰躬 背曲腰弯 耸肩曲背 拱肩缩背 耸肩缩背
痛贯心膂 泣血捶膺 痛心伤臆 痛入心脾 叩心泣血
淡写轻描 匀红点翠 颊上添毫 淡妆浓抹 膏唇拭舌
儿女心肠 惺惺相惜 义气相投 满腔热枕 燕侣莺俦
言不及行 行不副言 傲慢少礼 傲慢无礼 遮三瞒四
谆谆告戒 做刚做柔 教导有方 少安无躁 谆谆善诱
含糊其词 半吞半吐 半吐半露 不阴不阳 含糊其辞
羞面见人 讳莫高深 敢怨而不敢言 胆小怕事 毫不讳言
总角之交 生发未燥 竹马之友 蒙以养正 一男半女
连明达夜 连明彻夜 黑家白日 连宵彻曙 以日继夜
避世墙东 潜踪匿影 隐迹埋名 潜踪蹑迹 潜形匿迹
偷媚取容 百般奉承 谄词令色 将心比心 曲意承迎
兔死凫举 兔起凫举 凫趋雀跃 见兔放鹰 惊猿脱兔
东门黄犬 使功不如使过 将功补过 将功折过 官报私仇
还原反本 还元返本 归全反真 还淳反古 复旧如初
精妙绝伦 锦心绣腹 摘艳熏香 摘艳薰香 烂若披锦
削职为民 迁臣逐客 封金挂印 退步抽身 悬车致仕
物尽其用 爱日惜力 损有余补不足 谨身节用 如弃敝屣
瘦羊博士 处堂燕鹊 谦谦君子 岁寒松柏 铮铮铁汉
一点一滴 毫发丝粟 毛发丝粟 米粒之珠 分寸之末
鸾吟凤唱 鸾俦凤侣 凤舞龙蟠 歌莺舞燕 凤凰于飞
推崇备至 感恩戴德 赏贤使能 点头咂嘴 敬贤重士
河斜月落 月落星沉 兔起乌沉 月落参横 月没参横
头痛医头，脚痛医脚 结结巴巴 做一日和尚撞一天钟 做一日和尚撞一日钟 拖泥带水
千形万状 变态百出 千变万化 百怪千奇 千姿万态
若涉渊水 如蹈水火 艰难困苦 握蛇骑虎 黑风孽海
溯水行舟 沸沸汤汤 逆水行舟 风起水涌 乘风破浪
自由放任 放任自流 听其自流 任其自流 听其自然
朱弦三叹 鸾歌凤舞 余音袅袅 凤吟鸾吹 珠歌翠舞
成人不自在，自在不成人 敬事后食 发奋图强 求人不如求己 事无三不成
恍如梦境 混混沌沌 昏迷不醒 梗迹萍踪 醉生梦死
心小志大 敏于事，慎于言 逊志时敏 志在四方 敬终慎始
一日千丈 势不可挡 火然泉达 悬崖转石 形势逼人
默换潜移 默转潜移 潜消默化 东偷西摸 换日偷天
物议沸腾 人多口杂 议论纷纭 议论纷纷 议论纷错
贪功起衅 见利忘义 计功谋利 自私自利 损己利人
随乡入乡 无施不可 唯所欲为 入乡随俗 惟所欲为
历精图治 励精求治 历精为治 历精更始 忧国奉公
高自位置 超世之才 逸群之才 才夸八斗 超群拔类
遣辞措意 遣言措意 遣词造意 遣词措意 遣词立意
千方百计 百计千方 想方设法 多方百计 千方万计
一心同功 同德协力 通力合作 分工合作 同心并力
从容自如 心中有数 精明能干 精明强干 投刃皆虚
堆山积海 积金累玉 山积波委 堆金迭玉 堆金叠玉
空谷传声 跫响空谷 空谷足音 深山长谷 深山穷谷
同心合力 同心并力 同心一力 同心叶力 一心一德
活剥生吞 生吞活剥 生搬硬套 描头画角 片接寸附
营私植党 计功谋利 自私自利 植党营私 因公假私
暗度陈仓 上楼去梯 东偷西摸 文武差事 暮夜怀金
没精打彩 凤狂龙躁 失魂荡魄 七拱八翘 无精打彩
搬唇弄舌 戴高帽子 风言醋语 数黑论黄 论黄数黑
东完西缺 杞宋无征 断墨残楮 遗编绝简 遗编断简
量力度德 量己审分 察言观行 反身自问 先人后己
遵养晦时 表里受敌 背腹受敌 两败俱伤 同舟敌国
云行雨施 云行雨洽 雨露之恩 沛雨甘霖 春风雨露
心术不端 以小人之心，度君子之腹 傲慢少礼 傲慢无礼 轻世傲物
温润而泽 温文儒雅 闻融敦厚 柔心弱骨 和蔼可亲
抚今痛昔 抚今思昔 吊古伤今 抚今悼昔 感今怀昔
振穷恤贫 振穷恤寡 赈贫贷乏 分贫振穷 济苦怜贫
想望丰采 见德思齐 心乡往之 时望所归 文章宗匠
矩步方行 正己守道 敬老慈穉 敬老慈少 立身行己
重峦迭巘 重峦叠嶂 重峦迭嶂 重岩迭嶂 重岩迭障
安身之地 安身之处 根生土长 安家立业 靠山吃山，靠水吃水
死标白缠 横拖倒扯 百般刁难 东拦西阻 力不能支
满腔热枕 永矢弗谖 上下同心 一心一计 专心一意
听其自然 随俗沉浮 从心所欲 放任自流 唯所欲为
乳声乳气 轻言细语 言语妙天下 呢喃细语 喃喃细语
附势趋炎 范水模山 淮王鸡狗 倚势凌人 挟势弄权
凭空捏造 胡说八道 游谈无根 胡猜乱想 无知妄作
因公假私 借公行私 营私罔利 以权谋私 营私作弊
亥豕相望 豕亥鱼鲁 鲁鱼帝虎 攻瑕指失 三豕涉河
承颜候色 唯命是从 唯命是听 自行其是 随人作计
分星擘两 辞严义正 分星劈两 只言片语 词言义正
道不相谋 区闻陬见 耻与哙伍 面朋口友 瓮里醯鸡
通文达艺 龙骧豹变 游云惊龙 古肥今瘠 龙伸蠖屈
止戈散马 休牛归马 休牛散马 案兵束甲 案甲休兵
多情善感 多情多感 红愁绿惨 情凄意切 唾壶击缺
土壤细流 小小不言 郐下无讥 毛发丝粟 一针一线
计功行赏 照功行赏 论功封赏 论功行赏 班功行赏
跗萼连晖 跗萼联芳 跗萼载韡 二惠竞爽 双桂联芳
自我表现 囊锥露颖 逞强称能 囊里盛锥 露己扬才
面壁磨砖 钻火得冰 道傍之筑 一手托天 煎水作冰
升官发财 富贵显荣 加官进禄 功名富贵 发财致富
小手小脚 三日打鱼，两日晒网 三天打鱼，两天晒网 肤皮潦草 浮皮潦草
朝朝暮暮 瞬息之间 一时半刻 一时半霎 一时半晌
神魂飘荡 神魂荡飏 眼花心乱 心如悬旌 神不附体
一手一足 一手一脚 人单势孤 犬键踪 势孤力薄
清廉正直 秉公任直 志洁行芳 端人正士 道高德重
学富才高 材雄德茂 才学兼优 才华超众 才高识远
言不逮意 言行相悖 笨嘴笨舌 言无伦次 言与心违
铁肠石心 铜心铁胆 坚忍不拔 百折不摧 百折不屈
血口喷人 恶语伤人 恶语中伤 蛇口蜂针 泥猪疥狗
悔过自责 计过自讼 何必当初 痛悔前非 悔罪自新
碎瓦颓垣 破瓦颓垣 断垣残壁 片瓦不留 片瓦无存
辱门败户 毁风败俗 出口伤人 话长说短 论长说短
见机行事 唯所欲为 惟所欲为 从心所欲 人尽其才
足不逾户 足不出门 足不窥户 闭门不出 闭关自守
锐挫气索 锐挫望绝 大败亏输 丧身失节 大败亏轮
南山铁案 法无可贷 未了公案 跳到黄河洗不清 生米煮成熟饭
神色不惊 神色不动 坦然自若 言笑自如 言笑自若
此起彼落 此伏彼起 此起彼伏 南去北来 移形换步
逾绳越契 前所未闻 无师自通 前古未有 口口相传
余音绕梁 凤吟鸾吹 余妙绕梁 惊起梁尘 凤鸣鹤唳
慎小谨微 慎小事微 千金弊帚 不遗巨细 中河失舟，一壶千金
耽惊受怕 惶惶不安 惶恐不安 心有余悸 吃惊受怕
代马望北 安土重旧 安土重居 千岁鹤归 抛乡离井
囊锥露颖 才夸八斗 生花之笔 生花妙笔 才高八斗
头疼脑热 头痛额热 头痛脑热 纤芥之疾 微过细故
贫无立锥 贫无置锥 贫无立锥之地 身无分文 清贫如洗
春暖花香 红情绿意 莺飞草长 双柑斗酒 春和景明
海外奇谈 五洲四海 恢恑憰怪 绝国殊俗 千奇百怪
摧锋陷坚 摧坚陷阵 摧锋陷阵 破坚摧刚 冲锋陷阵
慰情胜无 聊以自慰 聊以自娱 堪以告慰 指雁为羹
自我作故 据为己有 自我作古 吾自有处 予取予携
加官进禄 加官晋爵 进禄加官 邀功求赏 升官发财
离本依末 离本趣末 背本就末 逐末忘本 逐末舍本
适以相成 相因相生 相克相济 相生相成 相辅而行
格格不纳 于心何忍 不胜其苦 忍无可忍 此而可忍，孰不可忍
气势汹汹 风行电击 风激电飞 胆粗气壮 胆壮气粗
进退出处 进退荣辱 出处进退 鹏抟鹢退 操刀制锦
矫情饰诈 造言捏词 造言生事 以伪乱真 耍花腔
苍颜白发 白发苍颜 槁项没齿 黄干黑廲 须眉皓然
雪窗萤几 燃糠自照 牛角挂书 刺股悬梁 悬梁刺骨
阿世取容 阿时趋俗 适时应务 帮闲钻懒 适俗随时
少安无躁 免开尊口 软语温言 谆谆告戒 无庸赘述
宏才大略 雄材大略 学富才高 逸群之才 博学多才
狐媚魇道 邪魔外祟 除邪惩恶 淫心匿行 淫言诐行
识途老马 老马识途 识涂老马 通才硕学 钜学鸿生
一命之荣 引以为荣 临危受命 一方之任 居轴处中
坐视成败 坐观成败 骄傲自满 高傲自大 舍己芸人
敢为敢做 敢作敢当 有胆有识 有勇知方 临危致命
尊师贵道 敬贤重士 师严道尊 师道尊严 敬贤爱士
宠辱不惊 宠辱皆忘 欣然自得 刚直不阿 刚正不阿
餐风宿草 餐风宿露 餐风宿雨 餐风饮露 餐风咽露
朴素无华 雕盘绮食 朴实无华 布被瓦器 省吃俭用
搭搭撒撒 没精打彩 没精没彩 萎糜不振 迟眉钝眼
祁奚举午 祁奚之举 祁奚之荐 天上石麟 二三君子
飞书走檄 摇笔即来 造次行事 倚马七纸 干净利索
低眉折腰 缩头缩脑 降颜屈体 趑趄嗫嚅 低首下气
一搭一档 共为唇齿 相得益章 相辅而行 枝叶相持
打马虎眼 弄虚作假 耍花腔 矫情饰诈 诳时惑众
崭露头脚 逸群之才 超世之才 才华超众 初试锋芒
迎头赶上 接连不断 肩背相望 有增无已 相因相生
遥遥华胄 一路神祇 才疏德薄 材朽行秽 怙才骄物
残民害物 病国殃民 百般折磨 奸淫掳掠 误国殃民
隐迹埋名 隐姓埋名 隐名埋姓 讳莫高深 潜形匿迹
助人下石 多管闲事 舍己为人 损人不利己 损人利己
池鱼之虑 忧谗畏讥 无妄之忧 心事重重 心惊肉跳
推贤进善 进贤兴功 举善荐贤 进贤用能 进贤任能
中立不倚 不偏不倚 大事不糊涂 允执厥中 遇物持平
非分之财 不勤而获 不义之财 得不补失 得不酬失
凡偶近器 凡夫俗子 凡胎浊骨 等闲之辈 碌碌无奇
破镜重圆 久别重逢 破镜重合 云交雨合 人生何处不相逢
三复白圭 敬终慎始 甄心动惧 慎小事微 谨言慎行
家传人诵 家传户诵 家传户颂 家给人足 家殷人足
孜孜无倦 逊志时敏 孜孜无怠 孜孜不懈 孜孜不怠
孜孜不怠 孜孜不懈 孜孜无怠 竭力虔心 尽力而为
夜静更阑 灯尽油干 力殚财竭 万念俱寂 计穷力极
遗风古道 遗风旧俗 遗风余俗 遗风余象 遗风余泽
重望高名 时望所归 权重望崇 富贵显荣 天王老子
无为而成 自食其力 假力于人 因人成事 人强胜天
旧地重游 归去来兮 抛乡离井 锦衣行昼 马首欲东
兵不污刃 兵不雪刃 兵未血刃 军不血刃 轻装上阵
烂额焦头 头焦额烂 哭笑不得 东滚西爬 狐奔鼠窜
雷打不动 恪守不渝 蹈矩循规 奉命惟谨 有始有卒
日益月滋 日增月益 日增月盛 日新月盛 日滋月益
病魔缠身 沉疴宿疾 一卧不起 多历年稔 积劳成疾
权均力齐 权均力敌 力均势敌 势钧力敌 力敌势均
青林黑塞 他乡故知 惠子知我 心腹之交 千里神交
将无作有 来世不可待 徒劳往返 往返徒劳 坐失机宜
造谣生非 飞谋钓谤 兴讹造讪 搬口弄舌 造谣生事
愧不敢当 辞不获命 免开尊口 格格不纳 理所不容
危急存亡之秋 进退维亟 幕燕鼎鱼 燕巢卫幕 国难当头
兴家立业 积功兴业 立身扬名 著书立说 自强不息
励精求治 历精为治 历精图治 振奋人心 奋发有为
揽权纳贿 招权纳贿 招权纳赇 招权纳赂 贿赂并行
活神活现 活灵活现 活龙活现 栩栩欲活 惟肖惟妙
要而言之 简要不烦 肌劈理解 要而论之 言简意深
龙威燕颔 雄姿英发 确乎不拔 燕颔虎须 确固不拔
鹄峙鸾停 兰心蕙性 霞姿月韵 眉目如画 相貌堂堂
抛乡离井 离乡背土 超凡出世 拂袖而归 心去难留
百端交集 感慨万端 百感交集 千愁万绪 云悲海思
救难解危 救困扶危 扶危救困 振穷恤寡 振穷恤贫
三差两错 稍逊一筹 一点一滴 呼吸之间 分寸之末
隋珠和璧 隋珠和玉 隋珠荆璧 灵蛇之珠 隋侯之珠
荡气回肠 掉书袋 心荡神迷 心旌摇曳 回肠荡气
连三跨五 追风蹑景 蹑影追风 风行电照 燕跃鹄踊
油光晶亮 油光可鉴 清莹秀澈 明窗净几 华星秋月
卧虎藏龙 藏龙卧虎 潜光隐德 潜蛟困凤 敛锷韬光
敢怨而不敢言 腹非心谤 包藏祸心 深仇重怨 怀冤抱屈
附赘县疣 附赘悬胾 附赘悬疣 悬疣附赘 余食赘行
琵琶旧语 两相情原 克逮克容 相忍为国 雄唱雌和
浪迹天下 浪迹天涯 浪迹浮踪 东飘西徙 闯南走北
揎拳舞袖 揎腕攘臂 揎拳攞袖 揎拳裸手 揎拳裸臂
世道人心 交浅言深 悲欢离合 言谈举止 与世沉浮
日不移影 间不容瞚 坑灰未冷 石火风烛 石火风灯
黑风孽海 燕巢卫幕 握蛇骑虎 池鱼幕燕 遭倾遇祸
解纷排难 排难解纷 救难解危 扶危救困 扶危定乱
一吟一咏 画意诗情 诗情画意 鸾歌凤舞 画中有诗
令不虚行 间不容缓 施号发令 施命发号 威重令行
取巧图便 掐尖落钞 营私作弊 凿空褥 因公假私
量金买赋 奇文共赏 一字连城 文章宗工 奇文瑰句
一言丧邦 国将不国 一言兴邦 祸从口生 榱栋崩折
急如风火 汲汲皇皇 急于求成 孜孜汲汲 孳孳汲汲
里出外进 参差不一 四分五裂 错落不齐 杂七杂八
满招损，谦受益 益谦亏盈 一谦四益 美芹之献 才广妨身
天从人原 逢吉丁辰 大有作为 如原以偿 见世生苗
池鱼之祸 池鱼之殃 祸不单行 月值年灾 一长两短
醉生梦死 醉死梦生 如痴如梦 如梦如醉 酒食地狱
骚情赋骨 雅人韵士 雍容大度 骚翁墨客 骚人逸客
餐风啮雪 餐风茹雪 宿水餐风 餐风咽露 餐风宿草
殊形妙状 奇形怪状 奇形异状 怪模怪样 诡形奇制
心如刀绞 心如刀割 心如刀锯 心如刀剉 心如刀搅
绝路逢生 死里求生 险遭不测 危急存亡之秋 挺而走险
寸草衔结 一饭之德 感恩怀德 一介之善 慎小事微
兵行诡道 将计就计 以计代战 运智铺谋 运计铺谋
坚贞不渝 守正不回 坚守不渝 恪守不渝 信守不渝
三平二满 心满意足 心满愿足 心满原足 暖衣饱食
章决句断 字顺文从 辞简义赅 词严义密 语简意赅
物美价廉 价廉物美 公平交易 多快好省 货真价实
损己利人 招是搬非 得不酬失 得不补失 得不偿丧
废书而叹 即景生情 触物兴怀 抚今悼昔 读不舍手
瘦骨如柴 柔肤弱体 娇皮嫩肉 舒眉展眼 面如凝脂
洽闻强记 博学多才 通文达艺 强记博闻 学富才高
哭天喊地 死声唃气 大吆小喝 引吭高唱 大呼小叫
循涂守辙 蹈矩循规 不以规矩，不能成方圆 必由之路 循途守辙
心如刀绞 心如刀割 悱恻缠绵 悲从中来 急痛攻心
山栖谷隐 山栖谷饮 岩栖谷隐 眠云卧石 乐山爱水
推诚接物 磊落光明 交浅言深 送抱推襟 吐肝露胆
目光炯炯 看人眉睫 近在眉睫 明眸善睐 柳眉星眼
桂子兰孙 玉叶金枝 孝子慈孙 子子孙孙 龙雏凤种
熔今铸古 熔古铸今 识字知书 閒今铸古 格古通今
胆丧魂消 胆丧魂惊 魂消魄丧 踨蹐不安 碎心裂胆
岁暮天寒 天寒地冻 飘风苦雨 冰雪严寒 寒风侵肌
福寿齐天 福寿绵绵 福寿康宁 齐天洪福 福星高照
铮铮佼佼 嵚崎历落 楚楚不凡 超群出众 拔丛出类
桀骜难驯 傲头傲脑 不挠不屈 钢浇铁铸 吃软不吃硬
冰洁渊清 玉清冰洁 清洌可鉴 冰清玉洁 清莹秀澈
以玉抵乌 物以希为贵 物稀为贵 千金弊帚 千金敝帚
唯所欲为 从心所欲 惟所欲为 听其自然 漫不经意
相持不下 针尖对麦芒 你死我活 枪声刀影 枪烟砲雨
疑团莫释 不知头脑 以疑决疑 不知端倪 摸不着头脑
友风子雨 祥风时雨 殢雨尤云 十雨五风 风雨时若
贪蛇忘尾 急公近利 焚林而畋 焚林而狩 逐末忘本
悠闲自在 优游岁月 逍遥自在 逍遥自得 超然自逸
独鹤鸡群 鹤立鸡群 卓立鸡群 鹤行鸡群 鹤处鸡群
析肝沥悃 言无不尽 抚心自问 吐心吐胆 肝胆相照
龙腾虎踞 人多势众 百万雄师 中原逐鹿 党坚势盛
遇物持平 秉公任直 推诚布公 公明正大 守正不挠
寻欢作乐 遣愁索笑 乐在其中 追欢取乐 及时行乐
富面百城 牙签万轴 拥书百城 鸿函钜椟 胸中万卷
轻骑简从 轻装简从 轻车简从 轻骑减从 轻车减从
高翔远引 高蹈远举 龙蛰蠖屈 遁身远迹 遁形远世
出死断亡 断根绝种 绝子绝孙 养生送终 毁家纾国
游山玩水 寻壑经丘 经丘寻壑 风月无边 观山玩水
取信于人 言从计听 言听计行 言听计用 言从计行
授人口实 置之脑后 不赞一词 默不作声 一言不发
家道从容 肥甘轻暖 万贯家财 家道小康 家累千金
天长日久 日久天长 地久天长 旷日长久 日久岁长
切近的当 简截了当 嘴清舌白 简明扼要 简要清通
反覆无常 变幻不测 分久必合，合久必分 龙化虎变 神藏鬼伏
却病延年 排忧解难 祛病延年 调神畅情 救苦弭灾
惹祸招愆 惹祸招殃 惹灾招祸 招灾惹祸 惹祸招灾
量能授官 沿才受职 以人择官 因任授官 随才器使
兵慌马乱 祸乱滔天 人荒马乱 戎马劻勷 龙战鱼骇
漫不经意 舍生忘死 贪蛇忘尾 事不关己，高高挂起 如泣草芥
无羐无碍 无挂无碍 无忧无虑 无所顾惮 无所忌讳
涤瑕蹈隙 话里带刺 话里有刺 造谣中伤 打击报复
桑中之喜 争锋吃醋 露水夫妻 少条失教 放荡形骸
鹄峙鸾停 仪静体闲 兰质薰心 兰质熏心 仙姿玉质
得薄能鲜 德薄能鲜 德薄才鲜 有口无行 才疏志大
桂玉之地 钻坚研微 帝辇之下 尊师贵道 研精阐微
和蔼近人 和蔼可亲 好言好语 天道无亲 心慈面软
壶中天地 稗官小说 名山事业 心织笔耕 饮食起居
刬恶锄奸 剗恶锄奸 扶正黜邪 祛蠹除奸 讨恶翦暴
引针拾芥 山崩钟应 风从虎，云从龙 相因相生 鳌鸣鳖应
好事之徒 瘦羊博士 有识之士 长才广度 大权独揽
顺风使帆 顺风张帆 顺风使船 顺风行船 顺时而动
话长说短 察言观行 论长道短 论长说短 说短论长
饥火烧肠 枵腹终朝 饥冻交切 饥寒交切 鱼生空釜
剜肉补疮 偷声细气 分星擘两 缓急相济 摘胆剜心
惊才风逸 触手生春 蕤宾铁响 神乎其技 成风尽垩
增收节支 量入计出 损有余补不足 富国裕民 量入为出
食甘寝宁 枕稳衾温 食甘寝安 三平二满 心满原足
出舆入辇 昼夜兼程 事在必行 游必有方 知过必改
半半拉拉 未竟之志 难以为继 难乎为继 道傍之筑
能言快语 能言快说 心巧嘴乖 利齿能牙 谈议风生
没日没夜 黑家白日 无昼无夜 以日继夜 黑天白日
钉嘴铁舌 倔头强脑 吾膝如铁 傲头傲脑 钢浇铁铸
孙康映雪 读书三到 熟读深思 唇腐齿落 牛角挂书
柳啼花怨 鸟啼花落 鬼哭天愁 神愁鬼哭 情凄意切
一丁不识 不识一丁 屯毛不辨 牛听弹琴 含糊不明
舍近务远 长虑后顾 长虑却顾 取长弃短 长计远虑
柳昏花螟 柳暗花遮 月白风清 绿暗红稀 柳烟花雾
遗臭无穷 遗臭万载 丑声远播 遗臭万世 遗臭万代
多谋善断 别作良图 持权合变 回筹转策 旧事重提
一扫而光 扫地无遗 扫地俱尽 拾掇无遗 扫地无余
声价十倍 身价百倍 声誉鹊起 平地一声雷 平步登天
以礼相待 温文儒雅 雍容大度 整衣敛容 出门如宾
事捷功倍 较德焯勤 业峻鸿绩 明效大验 井井有序
直抒己见 危言正色 笃而论之 侃侃而言 词约指明
交浅言深 推诚接物 目交心通 言和意顺 直抒己见
大煞风景 大煞风趣 杀风景 煮鹤烧琴 鼠屎污羹
鲁卫之政 分床同梦 谆谆诰诫 归根结底 归根结柢
成风尽垩 郢匠挥斤 神乎其技 大匠运斤 目牛无全
富国安民 保国安民 国富民安 安国富民 裕民足国
狂风怒号 横刀揭斧 揎拳舞袖 雷嗔电怒 怒气冲冲
凤吟鸾吹 鸾吟凤唱 百啭千声 欢若平生 众口交赞
冲冠发怒 冲冠怒发 怒火冲天 气涌如山 火冒三尺
钜学鸿生 通才硕学 博物君子 宏儒硕学 通儒达士
水剩山残 国将不国 离析分崩 榱栋崩折 鹿走苏台
落拓不羁 不拘形迹 倜傥不群 磊瑰不羁 磊落不羁
若涉渊水 艰难困苦 握蛇骑虎 如蹈水火 火山汤海
事捷功倍 明效大验 多快好省 旦种暮成 干净利索
以夜继日 连宵彻曙 弥日累夜 日夜兼程 以日继夜
资深望重 年高望重 一人之下，万人之上 有识之士 一代宗臣
奥妙无穷 离奇古怪 异闻传说 游心骇耳 旷古奇闻
自给自足 自食其力 各取所需 将本求利 靠天吃饭
去太去甚 去泰去甚 适可而止 入境问俗 秉节持重
至尊至贵 至高无上 重望高名 时望所归 履盈蹈满
按辔徐行 捏脚捏手 调良稳泛 缓步代车 长辔远驭
沉滓泛起 载沉载浮 朽骨重肉 枯树生华 得而复失
鹄峙鸾停 凤骨龙姿 绰约多姿 妍姿艳质 龙姿凤采
余音袅袅 神醉心往 醉舞狂歌 放意肆志 逍遥自在
闳识孤怀 高才远识 远见卓识 才高识远 宽怀大度
言不顾行 言行相悖 言不及行 行不副言 经验之谈
长命富贵 松柏之寿 黄发儿齿 长命百岁 福寿年高
进退有常 进退应矩 进退中绳 进退有节 进退有度
多艺多才 多能多艺 多材多艺 各取所长 囊里盛锥
托物寓感 托物寓兴 托物感怀 托物引类 慷他人之慨
真命天子 天与人归 出震继离 飞龙在天 真龙天子
永矢弗谖 矢忠不二 誓死不渝 矢志不移 远垂不朽
守正不回 负气仗义 奉公如法 秉正无私 公明正大
削铁无声 劚玉如泥 枕戈剚刃 白刀子进，红刀子出 狗行狼心
不堪言状 无名火气 怒火冲天 众怒难任 苦不可言
微显阐幽 抉奥阐幽 析精剖微 剖玄析微 显微阐幽
身强力壮 铜浇铁铸 虎体熊腰 活龙鲜健 拔山举鼎
才学兼优 学富才高 品学兼优 才貌双全 博学多才
心慌撩乱 心烦意乱 焦心热中 心慌意乱 冥思苦想
素口骂人 破口大骂 洪乔捎书 恶语相加 騣童钝夫
迫不可待 巴巴劫劫 风风火火 风雷火炮 悬鼓待椎
守正不回 持正不阿 不自满假 坚贞不渝 守分安常
平澹无奇 筐箧中物 碌碌无奇 无毁无誉 碌碌无为
跋扈自恣 放纵不拘 适情任欲 落拓不羁 朝梁暮陈
百废具举 百废待举 百废待兴 百废咸举 百废俱举
为恶不悛 矢口抵赖 矢口否认 累教不改 推三阻四
能言快语 聪明智慧 雄才大略 学富才高 慧心妙舌
